,Name,Poverty_Percent_All_Ages,Median_Household_Income,Latitude,Longitude
0,United States,13.2,"52,029",37.09024,-95.712891
1,Alabama,15.9,"42,586",32.3182314,-86.902298
2,Arizona,14.7,"51,009",34.0489281,-111.0937311
3,Arkansas,17.3,"38,820",35.20105,-91.8318334
4,California,13.3,"61,017",36.778261,-119.4179324
5,Colorado,11.2,"57,184",39.5500507,-105.7820674
6,Connecticut,9.1,"68,294",41.6032207,-73.087749
7,Delaware,10.3,"58,380",38.9108325,-75.52766989999999
8,Florida,13.3,"47,802",27.6648274,-81.5157535
9,Georgia,14.7,"50,834",32.1656221,-82.9000751
10,Idaho,12.5,"47,561",44.0682019,-114.7420408
11,Illinois,12.2,"56,230",40.6331249,-89.3985283
12,Indiana,12.9,"48,010",40.2671941,-86.1349019
13,Iowa,11.4,"49,007",41.8780025,-93.097702
14,Kansas,11.3,"50,174",39.011902,-98.4842465
15,Kentucky,17.3,"41,489",37.8393332,-84.2700179
16,Louisiana,17.6,"43,635",30.9842977,-91.96233269999999
17,Maine,12.6,"46,419",45.253783,-69.4454689
18,Maryland,8.2,"70,482",39.0457549,-76.64127119999999
19,Massachusetts,10.1,"65,304",42.4072107,-71.3824374
20,Michigan,14.4,"48,606",44.3148443,-85.60236429999999
21,Minnesota,9.6,"57,318",46.729553,-94.6858998
22,Mississippi,20.8,"37,818",32.3546679,-89.3985283
23,Missouri,13.5,"46,847",37.9642529,-91.8318334
24,Montana,14.1,"43,948",46.8796822,-110.3625658
25,Nebraska,10.8,"49,731",41.4925374,-99.9018131
26,Nevada,11.2,"56,432",38.8026097,-116.419389
27,New Hampshire,7.8,"63,235",43.1938516,-71.5723953
28,New Jersey,8.7,"70,347",40.0583238,-74.4056612
29,New Mexico,17.0,"43,719",34.5199402,-105.8700901
30,New York,13.7,"55,980",43.13868069999999,-74.9682114
31,North Carolina,14.6,"46,574",35.7595731,-79.01929969999999
32,North Dakota,11.5,"45,996",47.5514926,-101.0020119
33,Ohio,13.3,"48,011",40.4172871,-82.90712300000001
34,Oklahoma,15.7,"42,836",35.4675602,-97.5164276
35,Oregon,13.5,"50,165",43.8041334,-120.5542012
36,Pennsylvania,12.1,"50,702",41.2033216,-77.1945247
37,Rhode Island,12.1,"54,562",41.5800945,-71.4774291
38,South Carolina,15.7,"44,695",33.836081,-81.1637245
39,South Dakota,12.7,"46,244",43.9695148,-99.9018131
40,Tennessee,15.5,"43,610",35.5174913,-86.5804473
41,Texas,15.8,"50,049",31.9685988,-99.9018131
42,Utah,9.7,"56,820",39.3209801,-111.0937311
43,Vermont,10.4,"52,111",44.5588028,-72.57784149999999
44,Virginia,10.2,"61,210",37.4315734,-78.6568942
45,Washington,11.3,"58,081",47.6759636,-120.20841
46,West Virginia,17.4,"37,528",38.5976262,-80.4549026
47,Wisconsin,10.5,"52,103",43.7844397,-88.7878678
48,Wyoming,9.5,"54,735",43.0759678,-107.2902839
