State,Percent with College Degree
Alabama,34.43
Alaska,32.16
Arizona,34.62
Arkansas,29.82
California,39.71
Colorado,45.8
Connecticut,46.83
Delaware,41.04
Florida,37.94
Georgia,35.99
Hawaii,40.76
Idaho,34.96
Illinois,46.41
Indiana,38.34
Iowa,48.37
Kansas,42.99
Kentucky,34.56
Louisiana,32.06
Maine,37.65
Maryland,46.56
Massachusetts,54.8
Michigan,38.5
Minnesota,51.91
Mississippi,32.97
Missouri,40.69
Montana,41.65
Nebraska,46.31
Nevada,29.83
New Hampshire,47.78
New Jersey,48.61
New Mexico,31.28
New York,50.45
North Carolina,38.96
North Dakota,49.42
Ohio,40.12
Oklahoma,34.09
Oregon,39.39
Pennsylvania,45.37
Rhode Island,43.16
South Carolina,36.53
South Dakota,42.08
Tennessee,35.35
Texas,34.09
Utah,41.49
Vermont,44.16
Virginia,46.66
Washington,41.63
West Virginia,32.32
Wisconsin,43.3
Wyoming,34.2
